Comment,Designator,Footprint,LCSC,Qty Ordered,Qty Required,Ordered/Required,Unit Price (USD),Total Price (USD)
0.1uF,"C1,C2,C3",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C138340,50,3,16.67,0.0076,0.0228
1uF,C4,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323,50,1,50.00,0.0109,0.0109
22uF,"C5,C6,C7",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C45783,50,3,16.67,0.0328,0.0984
LED,D1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84259,20,1,20.00,0.0235,0.0235
DFLS130L,"D2,D4",Diode_SMD:D_PowerDI-123,C110493,10,2,5.00,0.294,0.588
MMSZ5254C-E3-08,D3,Diode_SMD:D_SOD-123,C241953,10,1,10.00,0.128,0.128
OBD2_Connector,J1,JGCommonFootprintLibrary:OBD-Male,-,3,1,3.00,2.857,2.857
TYPE-C-31-M-12,J2,JGCommonFootprintLibrary:HRO_TYPE-C-31-M-12,C165948,10,1,10.00,0.2435,0.2435
Conn_01x04,J3,Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,C161871,5,1,5.00,0.0763,0.0763
10uH,L1,JGCommonFootprintLibrary:CHILSIN-LVF303012,C142153,20,1,20.00,0.024,0.024
10K,"R1,R4",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84376,100,2,50.00,0.0031,0.0062
31.6K,R10,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C228743,50,1,50.00,0.0046,0.0046
120R,R3,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C175512,20,1,20.00,0.0263,0.0263
1.6K,"R2,R5",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17394,100,2,50.00,0.0026,0.0052
5.1K,"R6,R8",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C336831,20,2,10.00,0.0279,0.0558
100K,"R7,R9",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C96346,100,2,50.00,0.0035,0.007
SW_Push,"SW1,SW2",JGCommonFootprintLibrary:HRO-K2-1807,C502307,20,2,10.00,0.1199,0.2398
ESP32-S2-WROOM,U1,JGCommonFootprintLibrary:XCVR_ESP32-S2-WROOM,C967025,10,1,10.00,2.2451,2.2451
SN65HVD230,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C12084,10,1,10.00,1.7114,1.7114
MT1470,U3,Package_TO_SOT_SMD:SOT-23-6_Handsoldering,C181781,10,1,10.00,0.1232,0.1232
